FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
1628,generation of superoxide radicals,biological_process,biological_process,,1183114| 1183345| 1183614| 1183915| 41084| 41289| 41677| 41904| 42108| 42305| 42542| 42963| 43191| 43395| 43619| 43854| 44082| 44314| 44527| 45107| 45353| 45580| 45797| 46023| 46248| 46478| 46836| 47061| 47289| 47501| 47725| 47954| 48194| 48402| 48640| 49066| 49499| 49743| 49956| 50197| 50420| 50628| 50863| 51084| 51303| 51522| 51875| 52110| 52330| 52568| 52934| 53157| 53374| 53595| 53824| 54043| 54252| 54481| 54712| 54955| 55180| 55398| 55633| 55855| 56231| 56442| 56701| 56970| 57197| 57416| 57656| 57860,,,,,,,R-ADU-9607185,,,,,,,,
1634,genotoxic stress,biological_process,biological_process,,,,,,,,,,,,,PTW_0111207,,,,
1641,ghrelin,biological_process,biological_process,,,,,,,,,,,,,,,,,Pathway_Ghrelin
1655,glucocorticoid receptor signaling,biological_process,biological_process,,40853,,,,,,gr_signal_pathway,,,Pathway_844b1d1760d585b290a0516de8834799,,,,,,
1674,glucuronidation,biological_process,biological_process,R-GGA-156588| R-HSA-156588,11138| 13438| 14860| 16041| 1713| 17980| 18736| 19137| 21798| 22488| 240| 3356| 38586| 39028| 39511| 40106| 5091| 6324| 7128| 8928| 9351,,,,WP698,,,,,,,,,,,
1684,glutamate release,biological_process,biological_process,,,,,,,,,,,Pathway_285857f8afe346aabcfd1760443e7fec,,,,,,
1697,glutathione conjugation,biological_process,biological_process,R-GGA-156590| R-HSA-156590,11143| 13443| 14864| 15380| 16046| 1718| 17984| 18740| 19142| 21803| 22492| 244| 3360| 5095| 6329| 7132| 8932| 9356,,,,,,,,,,,,,,,
1724,glycoprotein hormones,biological_process,biological_process,R-BTA-209822| R-HSA-209822,10324| 11965| 14310| 16361| 20447| 20933| 23522| 4065| 6551| 905,,,,,,,,,,,,,,,
1729,glyoxalase pathway,biological_process,biological_process,,28035,,,PWY3IU-139,,,,,,,,,,,,
1745,granulosa cell,biological_process,biological_process,,40562,,,,,,Granulosa Cell,,,Pathway_31fa789225c619a34afbee5be4c5f26e,,,,,,
1773,head and neck squamous cell carcinoma,biological_process,biological_process,,1360955,,,,WP4674,,,,,,,,,,,
1784,hedgehog,biological_process,biological_process,,,,,,,,,,,,,,,,,Pathway_Hedgehog
1785,hedgehog pathway,biological_process,biological_process,R-DME-209392,8565,,,,,,,,,,,,,,,
1786,hedgehog signaling pathway,biological_process,biological_process,,1361962| 38722| 38934| 39027| 39221| 39267| 39312| 39357| 39981| 40064,,P00025,,WP47,,,,,,P00025,,,,,
1811,heparin-induced thrombocytopenia,biological_process,biological_process,,1361829,,,,,,,,,,,,PA447264,,,
1820,hepatocyte,biological_process,biological_process,,40934,,,,,,Hepatocyte,,,Pathway_3c47770e40602e2d0a60ec2be97d50ab,,,,,,
1824,hepatotoxicity,biological_process,biological_process,,,,,,,,,,,Pathway_dc8223bbd60b1ab5b22a30fb7f2ac316,,,,,,
1837,hippo-yap signaling pathway,biological_process,biological_process,,,,,,WP4537,,,,,,,,,,,
1840,histamine h1 receptor activation,biological_process,biological_process,,1245737| 1334863| 1334873| 1334884,SMP0108013,,,,SMP0063452,,,,,,,,,,
1841,histamine h1 receptor antagonists,biological_process,biological_process,,,,,,,,,,,,,PTW_0202953,,,,
1847,histamine receptors,biological_process,biological_process,R-GGA-390650| R-HSA-390650,11431| 14029| 16684| 19757| 20673| 2246| 23146| 2995| 4250| 5368| 7971| 9931,,,,,,,,,,,,,,,
1876,hiv infection,biological_process,biological_process,R-HSA-162906,12317,,,,,,,,,,,,,,,
1878,hiv life cycle,biological_process,biological_process,R-HSA-162587,12318,,,,,,,,,,,,,,,
1879,hiv protease inhibitors,biological_process,biological_process,,,,,,,,,,,,,PTW_0202910,,,,
1881,hiv reverse transcriptase,biological_process,biological_process,,,,,,,,,,,Pathway_1565a529875a5863ed0a58fcd2a72950,,,,,,
1890,homologous recombination repair,biological_process,biological_process,R-GGA-353295,8980,,,,,,,,,,,,,,,
1904,hsf1 activation,biological_process,biological_process,R-DME-3371511| R-HSA-3371511,10350| 11637| 13712| 14520| 16513| 17503| 18768| 18854| 1922| 21078| 22512| 2907| 3565| 5787| 6892| 782| 8218,,,,,,,,,,,,,,,
1910,huntington's disease,biological_process,biological_process,,,,,,,,,,,,,PTW_0181155,,,,
1920,hydrolysis,biological_process,biological_process,,,,,,,,,,,,,PTW_0111186,,,,
1921,hydrolysis of lpc,biological_process,biological_process,R-GGA-1483115| R-HSA-1483115,10937| 1181739| 1182088| 1182189| 13249| 14706| 1524| 15288| 15854| 18950| 21616| 22300| 3200| 4904| 6138| 86| 8762| 9168,,,,,,,,,,,,,,,
1922,hydrolytic enzyme,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1928,hydroxylation,biological_process,biological_process,,,,,,,,,,,,,PTW_0111192,,,,
1932,hyperbilirubinemia,biological_process,biological_process,,1340180,,,,,,,,,,,,PA444511,,,
1933,hypercholesterolemia,biological_process,biological_process,,1184720| 1250157| 1338927,SMP0120549,,,,SMP0000209,,,,,,,,,,
1940,hyperpolarization,biological_process,biological_process,,,,,,,,,,,Pathway_0c2db3986928715cc7112491c6c8c5d3,,,,,,
1941,hyperprolactinemia,biological_process,biological_process,,1340184,,,,,,,,,,,,PA444545,,,
1951,hypoplasia,biological_process,biological_process,,,,,,,,,,,,,PTW_0111219,,,,
1962,id,biological_process,biological_process,,,,,,,,,,,Pathway_034d82e0948cbacdf538682c5939e8a3,,,,,,
1972,il-6 signaling pathway,biological_process,biological_process,,38621| 39143| 39587| 40132,,,,WP1322| WP364,,,,,,,,,,,
1973,il1,biological_process,biological_process,,,,,,,,,,,Pathway_7ec7f7d3cea4ff67be6cc69d22be5879,,,,,,
1974,il11,biological_process,biological_process,,,,,,,,,,,,,,,,,Pathway_IL11
1975,il2,biological_process,biological_process,,,,,,,,,,,Pathway_440c17166a91a9d3b33328bdd800e0cc,,,,,,
1976,il3,biological_process,biological_process,,,,,,,,,,,Pathway_23a13634f1af1a634b637d3a07ed0d79,,,,,,
1977,il4,biological_process,biological_process,,,,,,,,,,,Pathway_84d709ae09bd80a2b2fbd55bec705c56,,,,,,
1978,il5,biological_process,biological_process,,,,,,,,,,,Pathway_65fc19dc30184ebe037e57014bba58dd,,,,,,
1979,il6,biological_process,biological_process,,,,,,,,,,,Pathway_992ff7967e995f1fcab92ae97fcb44ce,,,,,,
1988,immunity,biological_process,biological_process,,56844,,,,,,,R-OSA-9611458,,,,,,,,
1994,immunomodulator,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1998,immunosuppressive agents,biological_process,biological_process,,,,,,,,,,,,,PTW_0202950,,,,
2005,inactivator,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2006,incorporation,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2007,increase blood pressure,biological_process,biological_process,,,,,,,,,,,Pathway_66b1847f40623cafd108322abb28bb55,,,,,,
2008,increase heart rate,biological_process,biological_process,,,,,,,,,,,Pathway_4d322a93e0a28ee8ad4f5f609fd6db85,,,,,,
2009,increased angiogenesis,biological_process,biological_process,,,,,,,,,,,Pathway_fb796b868c8b5003fef2efadd8807086,,,,,,
2023,inducer,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2024,induction of apoptosis,biological_process,biological_process,,40263,,,,,,induction of apoptosis,,,Pathway_5ab0acf2a763b4df1aff3d173ba647de,,,,,,
2031,infection with mycobacterium tuberculosis,biological_process,biological_process,R-HSA-9635486,1295466,,,,,,,,,,,,,,,
2032,infectious disease,biological_process,biological_process,R-PFA-5663205| R-HSA-5663205,12316| 1360369| 1360389| 1360412| 1360425| 1360449| 1360469| 1360491| 1360513| 1360531| 1360551| 1360572| 1360584| 1360608| 1360666,,,,,,,,,,,,,,,
2034,inflammasomes,biological_process,biological_process,R-DDI-622312| R-HSA-622312,10484| 1181301| 1181982| 12667| 13017| 1313| 14989| 15648| 17191| 17625| 18271| 20082| 21160| 22661| 300| 3768| 6632| 7539,,,,,,,,,,,,,,,
2038,influenza a virus infection,biological_process,biological_process,,39515| 39629,,,,WP1438,,,,,,,,,,,
2039,influenza infection,biological_process,biological_process,R-HSA-168255| R-HSA-168254,12367| 12368,,,,,,,,,,,,,,,
2040,infraction,biological_process,biological_process,,,,,,,,,,,,,PTW_0111222,,,,
2042,inhibition of actin polymerisation,biological_process,biological_process,R-DME-450728,8626,,,,,,,,,,,,,,,
2047,inhibition of cytochrome p450 2c9,biological_process,biological_process,,,,,,,,,,,Pathway_970cee69e5fb292ec5403d77a8eaf242,,,,,,
2050,inhibition of ifn-beta,biological_process,biological_process,R-HSA-168888,12393,,,,,,,,,,,,,,,
2052,inhibition of nitric oxide production,biological_process,biological_process,R-HSA-9636249,1295472,,,,,,,,,,,,,,,
2054,inhibition of pkr,biological_process,biological_process,R-HSA-169131,12394,,,,,,,,,,,,,,,
2055,inhibition of prostaglandin g/h synthase 1,biological_process,biological_process,,,,,,,,,,,Pathway_336587b3e097a50c88347f4cd6dce2e3,,,,,,
2056,inhibition of prostaglandin g/h synthase 2,biological_process,biological_process,,,,,,,,,,,Pathway_9ffd743c35311cea9108bf40a6369a0a,,,,,,
2075,insulin pathway,biological_process,biological_process,,40883,,,,,,insulin_pathway,,,Pathway_811fb31f4e303ab2475c77cb60e81f35,,,,,,
2076,insulin receptor activation,biological_process,biological_process,,,,,,,,,,,Pathway_51ff505e9728d6b17588966d9b4df54b,,,,,,
2081,insulin signaling,biological_process,biological_process,,38696| 39194| 39253| 39578| 40067| 40124,,,,WP1313| WP481,,,,,,,,,,,
2083,insulin signalling,biological_process,biological_process,,1184952| 1335011| 1335058| 1335094,SMP0108225,,,,SMP0000391,,,,,,,,,,
2087,insulin-mediated glucose transport,biological_process,biological_process,,40843,,,,,,insulin_glucose_pathway,,,Pathway_3435c03eaa71cabd63ab7c45e5dd62d1,,,,,,
2094,integrin-mediated cell adhesion,biological_process,biological_process,,38731| 39191| 39240| 39286| 39329| 39400| 39659| 40177,,,,WP1386| WP185,,,,,,,,,,,
2096,interaction,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2097,intercalation,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2098,intercalator,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2172,intracellular signaling,biological_process,biological_process,,,,,,,,,,,,,PTW_0111142,,,,
2178,intrinsic activity,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2182,invadopodia formation,biological_process,biological_process,R-GGA-8941237| R-HSA-8941237,10794| 1181763| 13511| 17045| 1992| 19995| 21943| 23422| 3552| 6402| 8959,,,,,,,,,,,,,,,
2186,inverse agonism,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2187,inverse agonist,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2201,iron superoxide dismutase,biological_process,biological_process,,,,,,,,,,,,,PTW_0000819,,,,
2203,irreversible binding,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2219,jak/stat pathway,biological_process,biological_process,R-DME-209405,8608,,,,,,,,,,,,,,,
2220,jak/stat signaling pathway,biological_process,biological_process,,,,,,,,,,,,P00038,,,,,
2224,jnk signalling,biological_process,biological_process,R-DME-450724,8629,,,,,,,,,,,,,,,
2236,keratinocyte,biological_process,biological_process,,40742,,,,,,Keratinocyte,,,Pathway_28434b6a0f5c150c08aaf39cf1d22274,,,,,,
2240,ketogenesis,biological_process,biological_process,,1362664| 1363466| 23578| 25548| 31872| 32026,,,PWY66-367,,,,,PWY66-367,Pathway_02c786aa181832de24054b76a1ce8a2b,,,,,,
2268,l-aspartate biosynthesis,biological_process,biological_process,,1250611| 1250893| 1251217| 1251765| 1252382| 1252788| 1253391| 1253699| 1254107| 1254381| 1255009| 1255639| 1255728| 1256177| 1256945| 1257247| 1257783| 1258367| 1258743| 1259030| 1259508| 1259976| 1260397| 1261058| 1261290| 1261709| 1262182| 1262557| 1263154| 1263261| 1264048| 1264295| 1264629| 1265515| 1265599| 1266017| 1266424| 1266733| 1267072| 1267690| 1267932| 1268473| 1268983| 1269277| 1269763| 1270322| 1270607| 1270980| 1271739| 1272029| 1272352| 1272895| 1273083| 1273851| 1273939| 1274489| 1274599| 1275032| 1275341| 1276199| 1276420| 1276664| 1277215| 1277843| 1278108| 1278256| 1278679| 1279489| 1279796| 1280437| 1280839| 1281333| 1281427| 1282384| 1282925| 1283424| 1284115| 1284218| 1284974| 1285288| 1285715| 1286100| 1286572| 1286979| 1287577| 1287722| 1288205| 1288823| 1289441| 1289969| 1290005| 1290863| 1291057| 1291436| 1291844| 1292433| 1293004| 1293222| 1293666| 1293971| 1294617| 1341494| 1341732| 1342825| 1343571| 1344424| 1345039| 1345663| 1346576| 1347014| 1347641| 1348530| 1348674| 1349411| 1350346| 1351262| 1351939| 1352515| 1353061| 1354018| 1355040| 1355391| 1356020| 1358347| 1359198| 1360251| 1362718| 24577| 27085| 27764| 28668| 29323| 31013| 31282| 31738| 32370| 33143| 33459| 36201| 36849| 37218| 37313| 37498| 37703| 37787| 37974| 38131| 38439,,,ASPARTATESYN-PWY,,,,,ASPARTATESYN-PWY,,,,,,,
2290,leaching,biological_process,biological_process,,,,,,,,,,,,,PTW_0181314,,,,
2294,leishmania infection,biological_process,biological_process,R-PFA-9658195| R-HSA-9658195,1360370| 1360390| 1360413| 1360426| 1360450| 1360470| 1360492| 1360514| 1360532| 1360552| 1360573| 1360585| 1360609| 1360643| 1360667,,,,,,,,,,,,,,,
2296,leptin,biological_process,biological_process,,,,,,,,,,,Pathway_84971651a14b9323250908c43d04c32b,,,,,,
2297,leptin signaling pathway,biological_process,biological_process,,39568| 39679,,,,WP2034,,,,,,,,,,,
2313,leukotriene receptors,biological_process,biological_process,R-GGA-391906| R-HSA-391906,11436| 1181209| 1181930| 14034| 16689| 19762| 20678| 2251| 23151| 4255| 5373| 9936,,,,,,,,,,,,,,,
2315,lh secretion,biological_process,biological_process,,,,,,,,,,,Pathway_8eef81160dd5b0a1d64add3639775fb2,,,,,,
2318,ligand-receptor interactions,biological_process,biological_process,R-DME-5632681| R-HSA-5632681,10018| 11532| 14123| 16779| 19853| 20761| 23237| 2339| 4345| 5461| 8047,,,,,,,,,,,,,,,
2321,linezolid resistance,biological_process,biological_process,,35774,,,PWY-6828,,,,,,,,,,,,
2357,long-term memory,biological_process,biological_process,,40741,,,,,,long-term memory,,,Pathway_53a4e074a9843a279113893796fceb4d,,,,,,
2367,lung fibrosis,biological_process,biological_process,,39128| 39843,,,,WP3624,,,,,,,,,,,
2375,lymphocyte,biological_process,biological_process,,40716,,,,,,Lymphocyte,,,Pathway_2eeec237bba9a1c91c563851958f0bc8,,,,,,
2382,lymphoid tissue,biological_process,biological_process,,40495,,,,,,Lymphoid Tissue,,,Pathway_d6c47c05041bac80fdb995b14e84182b,,,,,,
2385,lysine decarboxylase,biological_process,biological_process,,,,,,,,,,,,,PTW_0001879,,,,
2398,macrophage,biological_process,biological_process,,40795,,,,,,Macrophage,,,Pathway_b8219b395baeabc715551535949d375f,,,,,,
2412,male mating,biological_process,biological_process,,38990,,,,WP2287,,,,,,,,,,,
2416,mammary epithelium,biological_process,biological_process,,40859,,,,,,mammary epithelium,,,Pathway_657f857ca02c530803cc96ba29dae312,,,,,,
2421,map kinase activation,biological_process,biological_process,R-DME-450294| R-HSA-450294,10444| 1182294| 12623| 1269| 12974| 14968| 17153| 17603| 18248| 20041| 21124| 22622| 2656| 279| 3727| 6596| 7521| 7681,,,,,,,,,,,,,,,
2426,mapk pathway,biological_process,biological_process,,,,,,,,,,,Pathway_3f37b71243d0e1352b6d382442532bf4,,,,,,
2437,matrix metalloproteinases,biological_process,biological_process,,38656| 39162| 39235| 39280| 39324| 39391| 39617,,,,WP129,,,,,,,,,,,
2469,membrane trafficking,biological_process,biological_process,R-GGA-199991| R-HSA-199991,10645| 14328| 15226| 15703| 16994| 17513| 18749| 1934| 19567| 21819| 21963| 2509| 377| 39513| 4675| 5176| 7153| 8187| 9743,,,,WP3212,,,,,,,,,,,
2485,met receptor activation,biological_process,biological_process,R-GGA-6806942| R-HSA-6806942,11394| 13996| 16651| 19725| 20638| 2214| 23114| 2972| 4214| 5332| 9899,,,,,,,,,,,,,,,
2498,metabolic syndrome,biological_process,biological_process,,1340185,,,,,,,,,,,,PA162370415,,,
2499,metabolism,biological_process,biological_process,R-GGA-1660598| R-HSA-1430728,10844| 12| 13162| 1438| 14631| 15243| 15767| 17777| 18562| 18865| 21531| 22215| 3120| 4818| 6051| 6900| 8681| 9083| 9366,,,,,,,,,,,,,,,
2500,metabolizer,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2515,methemoglobinemia,biological_process,biological_process,,1340190,,,,,,,,,,,,PA444942,,,
2524,methylation pathways,biological_process,biological_process,,39602| 40109,,,,WP704,,,,,,,,,,,
2529,mevalonate pathway,biological_process,biological_process,,1339113| 1339136| 1363797| 23616| 27367,SMP0121209,,PWY-922,WP3963,SMP0121055,,,,,,,,,,
2547,migration,biological_process,biological_process,,,,,,,,,,,Pathway_e76f91ffd44cb1f9379de3158dd9c030,,,,,,
2550,minor groove binder,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2552,minus-strand dna synthesis,biological_process,biological_process,R-HSA-164516,12323,,,,,,,,,,,,,,,
2553,mirna biogenesis,biological_process,biological_process,,39444| 39709,,,,WP2338,,,,,,,,,,,
2559,mitochondrial biogenesis,biological_process,biological_process,R-GGA-1592230| R-HSA-1592230,10685| 1361603| 13760| 14465| 15722| 17663| 18557| 19165| 2077| 21951| 22784| 2499| 255| 4087| 6015| 7174| 8116| 9072,,,,,,,,,,,,,,,
2569,mitochondrial mediated apoptosis,biological_process,biological_process,,,,,,,,,,,Pathway_d3d1a0524f60244cc0c4881270844a7b,,,,,,
2574,mitochondrial uncoupling,biological_process,biological_process,R-GGA-166187| R-HSA-166187,11037| 13341| 1360510| 1360563| 15945| 1616| 17908| 19042| 22391| 3272| 4996| 6229| 8840| 9255,,,,,,,,,,,,,,,
2580,mitosis,biological_process,biological_process,,40830,,,,,,mitosis,,,Pathway_f7365644a89d44a7eff5b4c17bd85816,,,,,,
2598,modulation,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2601,modulator,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2618,monocyte,biological_process,biological_process,,40337,,,,,,Monocyte,,,Pathway_85d7e05b6d4b8e8a36971be78a068427,,,,,,
2638,mrna capping,biological_process,biological_process,R-GGA-72086| R-HSA-72086,1182328| 12764| 13459| 1404| 14605| 15733| 17414| 18290| 20237| 20953| 23369| 23791| 27287| 2749| 328| 5111| 5142| 7424| 7587| 9388,,,PWY-7375,,,,,,,,,,,,
2644,mrna splicing,biological_process,biological_process,R-GGA-72172| R-HSA-72172,1182115| 12766| 13461| 1361936| 1406| 14607| 15735| 17416| 18292| 20239| 20955| 23371| 2751| 330| 5113| 5144| 7589| 9390,,P00058,,,,,,,,,,,,,
2651,mtor signalling,biological_process,biological_process,R-DME-165159| R-HSA-165159,10071| 11592| 1182376| 14179| 15213| 16838| 17770| 18835| 19912| 20816| 23289| 2395| 3109| 4398| 549| 5518| 7352| 8098,,,,,,,,,,,,,,,
2656,muscarinic acetylcholine receptors,biological_process,biological_process,R-GGA-390648| R-HSA-390648,11428| 14026| 16681| 19754| 20670| 2243| 23143| 2992| 4247| 5365| 7968| 9928,,,,,,,,,,,,,,,
2666,mutagenesis,biological_process,biological_process,,,,,,,,,,,,,PTW_0111223,,,,
2686,myofibroblast,biological_process,biological_process,,40539,,,,,,Myofibroblast,,,Pathway_25c23ac4bc4693acbef0fd58d3d17e4f,,,,,,
2722,neddylation,biological_process,biological_process,R-BTA-8951664| R-HSA-8951664,10315| 11955| 14300| 15134| 15599| 16351| 18156| 18505| 20437| 20925| 23514| 2851| 4055| 464| 6543| 6878| 7857| 895,,,,,,,,,,,,,,,
2777,neovascularization,biological_process,biological_process,,,,,,,,,,,,,PTW_0111211,,,,
2778,nephrotoxicity,biological_process,biological_process,,1361821,,,,,,,,,,,,PA162263533,,,
2795,neuroinflammation,biological_process,biological_process,,1360979,,,,WP4919,,,,,,,,,,,
2805,neuronal function,biological_process,biological_process,,,,,,,,,,,Pathway_e00cef855cd10277c2827203cb4ca1de,,,,,,
2809,neuronal system,biological_process,biological_process,R-GGA-112316| R-HSA-112316,11659| 1182378| 14364| 14888| 16178| 17997| 18382| 1993| 20271| 20992| 22137| 2533| 354| 4479| 5699| 7367| 8124| 8992,,,,,,,,,,,,,,,
2824,neutropenia,biological_process,biological_process,,1340159,,,,,,,,,,,,PA445113,,,
2837,nf-kb signaling,biological_process,biological_process,,,,,,,,,,,Pathway_eb14f9ec821d4762afd3c4134e1ba045,,,,,,
2838,nf-kb signaling pathway,biological_process,biological_process,,1245868| 1339037| 1339061| 1339085,SMP0120950,,,,SMP0063813,,,,,,,,,,
2861,non-competitive binding,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2875,notch,biological_process,biological_process,,,,,,,,,,,,,,,,,Pathway_Notch
2876,notch signaling,biological_process,biological_process,,39757,,,,WP268,,,,,,,,,,,
2880,nrf2 pathway,biological_process,biological_process,,39491| 39793,,,,WP2884,,,,,,,,,,,
2890,nuclear receptors,biological_process,biological_process,,38645| 39175| 39239| 39285| 39328| 39399| 39653,,,,WP170,,,,,,,,,,,
2914,nutrition,biological_process,biological_process,,,,,,,,,,,,,PTW_0111238,,,,
2924,oocyte,biological_process,biological_process,,40268,,,,,,Oocyte,,,Pathway_e3e45d675af19aac8820b6826e993719,,,,,,
2928,opener,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2932,opsins,biological_process,biological_process,R-GGA-419771| R-HSA-419771,11442| 1181211| 14040| 16695| 19768| 20683| 2257| 23157| 4261| 5378| 7975| 9941,,,,,,,,,,,,,,,
2939,organic anion transporters,biological_process,biological_process,R-GGA-428643| R-HSA-428643,10586| 13526| 1361679| 15029| 16880| 17544| 1857| 19506| 20471| 22821| 3443| 3909| 5960| 617| 7455| 8350| 9529,,,,,,,,,,,,,,,
2941,organic cation/anion/zwitterion transport,biological_process,biological_process,R-GGA-549132| R-HSA-549132,10600| 13540| 15041| 15398| 16894| 1871| 19520| 20485| 22835| 3456| 3923| 5974| 629| 8363| 9543,,,,,,,,,,,,,,,
2946,osteoblast,biological_process,biological_process,,40338,,,,,,Osteoblast,,,Pathway_5608e0dc0ffb78cd67ecf2e4d812ddc9,,,,,,
2949,osteoclast,biological_process,biological_process,,38707,,,,WP489,,,,,,,,,,,
2955,ovarian tumor domain proteases,biological_process,biological_process,R-BTA-5689896| R-HSA-5689896,10306| 11946| 1360924| 14291| 15127| 16342| 18148| 18498| 20428| 20917| 23505| 2844| 4046| 457| 6535| 6869| 7849| 886,,,,,,,,,,,,,,,
2960,oxidation/reduction,biological_process,biological_process,,,,,,,,,,,,,PTW_0111180,,,,
2965,oxidative enzyme,molecular_function,Unknown,,,,,,,,,,,,,,,,,
2968,oxidative stress response,biological_process,biological_process,,1361893| 38636| 39150| 39384| 39939| 40167,,P00046,,WP1372,,,,,,P00046,,,,,
2983,p2y receptors,biological_process,biological_process,R-GGA-417957| R-HSA-417957,11438| 1181210| 14036| 16691| 19764| 20680| 2253| 23153| 4257| 5375| 9938,,,,,,,,,,,,,,,
2984,p38 mapk pathway,biological_process,biological_process,,1361895,,P05918,,,,,,,,P05918,,,,,
2985,p38 mapk signaling pathway,biological_process,biological_process,,38660| 39123| 39228| 39274| 39318| 39372| 39931| 40161| 40734,,,,WP1363,,p38_mkk3_6pathway,,,Pathway_3b9ece5e3b30d5fb3c173c14c38132df,,,,,,
2988,p53 pathway,biological_process,biological_process,,1361896| 38727| 40521,,P00059,,WP655,,p53regulationpathway,,,,P00059,,,,,
2989,p53 signal pathway,biological_process,biological_process,,38728,,,,WP656,,,,,,,,,,,
3004,parasite infection,biological_process,biological_process,R-HSA-9664407,1360371| 1360391| 1360414| 1360427| 1360451| 1360471| 1360493| 1360515| 1360533| 1360553| 1360574| 1360586| 1360610| 1360644,,,,,,,,,,,,,,,
3008,partial agonism,molecular_function,Unknown,,,,,,,,,,,,,,,,,
3009,partial agonist,molecular_function,Unknown,,,,,,,,,,,,,,,,,
3025,penicillins,biological_process,biological_process,,,,,,,,,,,,,PTW_0202925,,,,
3069,phenothiazines,biological_process,biological_process,,,,,,,,,,,,,PTW_0202917,,,,
3109,phospholipases,biological_process,biological_process,,1250393| 1251099| 1251563| 1251711| 1252418| 1252546| 1253362| 1253523| 1254193| 1254509| 1254923| 1255567| 1256024| 1256508| 1256660| 1257279| 1257638| 1258144| 1258564| 1258939| 1259507| 1259955| 1260529| 1260997| 1261246| 1261860| 1262287| 1262656| 1262871| 1263589| 1263951| 1264538| 1264847| 1265450| 1265885| 1266531| 1266942| 1267337| 1267662| 1267977| 1268576| 1269089| 1269518| 1269683| 1270256| 1270819| 1271325| 1271468| 1272121| 1272454| 1272819| 1273148| 1273838| 1274122| 1274477| 1274623| 1274944| 1275464| 1275765| 1276499| 1276871| 1277359| 1277676| 1278026| 1278565| 1278738| 1279180| 1279845| 1280126| 1280481| 1281060| 1281422| 1282540| 1283140| 1283364| 1284003| 1284578| 1284675| 1285370| 1285669| 1286331| 1286749| 1287145| 1287627| 1287806| 1288377| 1289088| 1289339| 1289624| 1290351| 1290548| 1291013| 1291397| 1291804| 1292682| 1293076| 1293337| 1293518| 1294115| 1294646| 1341328| 1341696| 1342661| 1343634| 1344391| 1344794| 1345782| 1346426| 1346944| 1347604| 1348348| 1348639| 1349365| 1350322| 1351136| 1351698| 1352118| 1352510| 1353105| 1353658| 1355021| 1355299| 1356081| 1358437| 1359149| 1359813| 1363054| 23620| 24300| 27617| 28203| 28825| 29103| 29269| 30065| 30529| 30810| 31162| 31657| 31840| 33020| 33251| 34324| 34952| 35453,,,LIPASYN-PWY,,,,,LIPASYN-PWY,Pathway_c29c1e159b68aa045c8dbcc7c4d97a05,,,,,,
3124,photo,biological_process,biological_process,,,,,,,,,,,,,PTW_0181185,,,,
3128,photosynthesis,biological_process,biological_process,,1196103,SMP0012089,,,,,,,,,,PTW_0011528,,,,
3139,pi metabolism,biological_process,biological_process,R-ATH-1483255| R-HSA-1483255,10947| 13258| 14715| 15292| 1533| 15863| 17847| 18621| 18959| 21625| 22309| 3209| 4913| 6147| 6979| 8771| 9177| 95,,,,,,,,,,,,,,,
3140,pi uptake,biological_process,biological_process,,56568,,,,,,,R-OSA-9031221,,,,,,,,
3141,pi3 kinase pathway,biological_process,biological_process,,1361909,,P00048,,,,,,,,P00048,,,,,
3144,pi3k/akt activation,biological_process,biological_process,R-GGA-198203| R-HSA-198203,11327| 13942| 16594| 17676| 18779| 19668| 20584| 2160| 23060| 2941| 4162| 5276| 7255| 7923| 9844,,,,,,,,,,,,,,,
3145,pi3k/akt signaling,biological_process,biological_process,R-DME-1257604| R-HSA-1257604,10043| 11555| 14145| 15198| 15474| 16804| 17747| 18823| 19878| 20786| 23258| 2361| 3083| 4367| 535| 5486| 7330| 8072,,,,,,,,,,,,,,,
3146,pi3k/akt/mtor signaling pathway,biological_process,biological_process,,40961,,,,,,,,,,,,,PI3K,,
3162,pituitary gland,biological_process,biological_process,,40663,,,,,,Pituitary Gland,,,Pathway_ca411b8389813b26f624f5cc9ffe87f1,,,,,,
3163,pk,biological_process,biological_process,,1184498,,,,,,,,,,,,PA2037,,,
