FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
986,cross-linking agent,molecular_function,Unknown,,,,,,,,,,,,,,,,,
988,cross-talk,biological_process,biological_process,,,,,,,,,,,,,PTW_0111175,,,,
1005,cyclooxygenase inhibitors,biological_process,biological_process,,,,,,,,,,,,,PTW_0202914,,,,
1015,cystinuria,biological_process,biological_process,,1185191| 1250043| 1250262,SMP0120874,,,,SMP0000723,,,,,,,,,,
1024,cytokine secretion,biological_process,biological_process,,40819,,,,,,cytokine secretion,,,Pathway_b4cdb5819722615cfce78893004f66b6,,,,,,
1032,cytoskeletal dynamics,biological_process,biological_process,,,,,,,,,,,Pathway_28e980d98f2a10f2856b2c23bce81a3c,,,,,,
1035,cytoskeletal reorganization,biological_process,biological_process,,,,,,,,,,,Pathway_17967a97a4bf4b52d8fad8abf6b2158d,,,,,,
1038,cytostasis,biological_process,biological_process,,,,,,,,,,,,,PTW_0111160,,,,
1050,dauer formation,biological_process,biological_process,,39014,,,,WP580,,,,,,,,,,,
1054,de novo purine biosynthesis,biological_process,biological_process,,1361994,,P02738,,,,,,,,P02738,,,,,
1055,de novo purine nucleotide biosynthesis,biological_process,biological_process,,,,,,,,,,,,,PTW_0001822,,,,
1057,deacetylation,biological_process,biological_process,,,,,,,,,,,,,PTW_0111183,,,,
1059,death receptor signaling,biological_process,biological_process,R-DME-73887,10075| 11596| 1360932| 14183| 16842| 17773| 19916| 23293| 2399| 3112| 4402| 5522| 7356| 8102,,,,,,,,,,,,,,,
1068,defensins,biological_process,biological_process,R-CFA-1461973| R-HSA-1461973,1181560| 12709| 13055| 1351| 17229| 20119| 3804,,,,,,,,,,,,,,,
1070,degradation,biological_process,biological_process,,40415,,,,,,degradation,,,Pathway_a4ee5863344e30d9da6fd0a7e6c620c0,,,,,,
1071,degradation of beta catenin,biological_process,biological_process,,40218,,,,,,betacatenin_deg_pathway,,,Pathway_764084272c2336f67434f9e7a80b6c55,,,,,,
1072,degrader,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1083,dendritic cell,biological_process,biological_process,,40427,,,,,,Dendritic Cell,,,Pathway_8bdf50f327c6e10d1093d9f6a3e30622,,,,,,
1090,depolarization,biological_process,biological_process,,,,,,,,,,,Pathway_b1ff43b5d64c6bccf73ad70091651007,,,,,,
1099,development,biological_process,biological_process,,,,,,,,,,,Pathway_3888b7aa7d4ce403c854df5dc5cc8315,,,,,,
1106,diarrhea,biological_process,biological_process,,1340151,,,,,,,,,Pathway_5d521b528c93c4d9a074041cef00ed87,,,PA443899,,,
1112,diffusion,biological_process,biological_process,,,,,,,,,,,,,PTW_0181192,,,,
1134,displacement,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1135,disrupter,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1136,disrupting agent,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1180,dna replication initiation,biological_process,biological_process,R-GGA-68952| R-HSA-68952,1063| 11779| 12851| 14536| 15490| 16098| 18051| 18316| 19313| 21267| 22915| 2448| 4594| 5838| 593| 6771| 7575| 9666,,,,,,,,,,,,,,,
1212,dopamine receptors,biological_process,biological_process,R-GGA-390651| R-HSA-390651,11430| 14028| 16683| 19756| 20672| 2245| 23145| 2994| 4249| 5367| 7970| 9930,,,,,,,,,,,,,,,
1223,dravet syndrome,biological_process,biological_process,,1362149,,,,WP5200,,,,,,,,,,,
1237,drug metabolism,biological_process,biological_process,,,,,,,,,,,,,PTW_0111123,,,,
1241,drug transport,biological_process,biological_process,,,,,,,,,,,,,PTW_0111125,,,,
1260,effects of nitric oxide,biological_process,biological_process,,39483| 39671,,,,WP1995,,,,,,,,,,,
1264,egfr downregulation,biological_process,biological_process,R-GGA-182971| R-HSA-182971,11267| 13885| 16537| 19611| 20529| 2103| 23003| 2920| 4105| 5220| 7875| 9787,,,,,,,,,,,,,,,
1274,egfr1,biological_process,biological_process,,,,,,,,,,,Pathway_0950873533ab8ae151618239a8e01a70,,,,,,
1278,eicosanoid synthesis,biological_process,biological_process,,38659| 39118| 39205| 39293| 39584| 39652| 40129,,,,WP1318| WP167,,,,,,,,,,,
1279,eicosanoids,biological_process,biological_process,R-GGA-211979| R-HSA-211979,11127| 13427| 14852| 16030| 1702| 19126| 21788| 22477| 232| 3347| 5080| 6313| 7119| 8919| 9340,,,,,,,,,,,,,,,
